epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,353.114,1.38405,1.46374,1.21919,0.84088,0.71172,0.79391,0.48958,1.30227,0.89437,1.12094,0.00998805,0.00332935,0.00998805,0.00332935,0.00998805,0.00332935,0.00998805,0.00332935
2,1366.39,1.31104,0.95357,1.12618,0.85015,0.69987,0.77296,0.45278,1.32058,0.93363,1.15842,0.0195923,0.00653076,0.0195923,0.00653076,0.0195923,0.00653076,0.0195923,0.00653076
3,1638.48,1.35644,0.94572,1.15673,0.86739,0.68782,0.77807,0.48209,1.33418,0.84572,1.16652,0.0288005,0.00960018,0.0288005,0.00960018,0.0288005,0.00960018,0.0288005,0.00960018
4,2752.35,1.35041,0.92744,1.16546,0.87448,0.70279,0.79115,0.49638,1.31352,0.79644,1.15539,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3126.88,1.32216,0.86913,1.15093,0.88358,0.72369,0.80802,0.51025,1.28885,0.76189,1.14009,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3528.26,1.29589,0.82697,1.13492,0.87911,0.74634,0.82621,0.52642,1.25728,0.72329,1.11921,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3914.51,1.27252,0.79995,1.12144,0.88542,0.75532,0.83387,0.53496,1.25287,0.71389,1.12344,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4301.09,1.2581,0.7721,1.11445,0.88329,0.75839,0.83893,0.53653,1.2414,0.6805,1.10573,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4686.76,1.24433,0.7512,1.10768,0.88177,0.76221,0.84028,0.54664,1.2222,0.66073,1.10082,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5072.9,1.23653,0.74149,1.1031,0.89884,0.77075,0.85208,0.55676,1.21521,0.63721,1.09645,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,5458.87,1.23145,0.73377,1.1017,0.89259,0.78269,0.85767,0.55722,1.21071,0.62513,1.09107,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
